
                  BEAST v1.8.1, 2002-2014
       Bayesian Evolutionary Analysis Sampling Trees
                 Designed and developed by
   Alexei J. Drummond, Andrew Rambaut and Marc A. Suchard
                              
               Department of Computer Science
                   University of Auckland
                  alexei@cs.auckland.ac.nz
                              
             Institute of Evolutionary Biology
                  University of Edinburgh
                     a.rambaut@ed.ac.uk
                              
              David Geffen School of Medicine
           University of California, Los Angeles
                     msuchard@ucla.edu
                              
                Downloads, Help & Resources:
                 	http://beast.bio.ed.ac.uk
                              
Source code distributed under the GNU Lesser General Public License:
            	http://code.google.com/p/beast-mcmc
                              
                     BEAST developers:
	Alex Alekseyenko, Guy Baele, Trevor Bedford, Filip Bielejec, Erik Bloomquist, Matthew Hall,
	Joseph Heled, Sebastian Hoehna, Denise Kuehnert, Philippe Lemey, Wai Lok Sibon Li,
	Gerton Lunter, Sidney Markowitz, Vladimir Minin, Michael Defoin Platel,
          	Oliver Pybus, Chieh-Hsi Wu, Walter Xie
                              
                         Thanks to:
    	Roald Forsberg, Beth Shapiro and Korbinian Strimmer

Using BEAGLE library v2.1.2 for accelerated, parallel likelihood evaluation
2009-2013, BEAGLE Working Group - http://beagle-lib.googlecode.com/
Citation: Ayres et al (2012) Systematic Biology 61: 170-173 | doi:10.1093/sysbio/syr100



Random number seed: 1428625469005



Loading additional development parsers from development_parsers.properties, which is additional set of parsers only available for development version ...

Parsing XML file: separatebeastinfile.xml
  File encoding: UTF8
Looking for plugins in /fh/fast/bloom_j/grp/Heather/TcellEpitopeComparisons/swine/HA_H3/plugins
Read alignment: alignment
  Sequences = 57
      Sites = 566
   Datatype = amino acid
Site patterns 'patterns' created from positions 1-566 of alignment 'alignment'
  pattern count = 566
Creating the tree model, 'treeModel'
  initial tree topology = (((((((((((2003A/swine/Italy/268086/2003|EU982298|2003.,2006A/swine/Italy/66945/2006|EU037014|2006.),1999A/swine/Bakum/8602/99|EF409250|1999.),(1999A/swine/HongKong/5190/99|AY363519|1999.,2000A/swine/Italy/9181/2000|DQ975266|2000.)),2005A/swine/Italy/30574/2005|EU045372|2005.),(1994A/Swine/Italy/25823/94|AF213903|1994.,2004A/swine/Spain/54008/2004|CY010564|2004.)),((((1991A/Swine/Netherlands/784/91|AF092057|1991.,1995A/swine/Germany/Vi3161/95|AM920723|1995.),(1992A/swine/Italy/1188/1992|DQ975258|1992.,1993A/Swine/Netherlands/849/93|AF092054|1993.)),1983A/swine/Italy/309/1983|X73489|1983.),1987A/swine/Italy/635/1987|X73491|1987.)),((((2001A/swine/Spain/33601/2001|CY009372|2001.,2002A/swine/Spain/42386/2002|CY020501|2002.),2003A/swine/Nordkirchen/IDT1993/2003|EU924271|2003.247),1997A/swine/Germany/SEC27/97|AM920733|1997.),2007A/swine/Italy/10659-1/2007|EU982295|2007.)),((((2001A/swine/Italy/7680/2001|EU045365|2001.,2002A/swine/Spain/39139/2002|CY009380|2002.),1987A/swine/Italy/636/87|AJ293928|1987.),2004A/swine/Italy/297576/2004|EU045371|2004.),1988A/swine/Italy/729/1988|DQ975256|1988.)),(((((((1995A/swine/Italy/1380-2/1995|DQ975260|1995.,2003A/swine/Bissendorf/IDT1864/2003|GQ161170|2003.211),1998A/swine/Italy/1510/98|AJ293932|1998.),1985A/swine/Italy/520/85|X73490|1985.),1996A/swine/Italy/1477/96|AJ293931|1996.),1992A/swine/Italy/1243/92|AJ293929|1992.),(1993A/Swine/Netherlands/L2/93|AF092056|1993.,2000A/swine/HongKong/7982/00|AY363522|2000.)),1997A/swine/Lohne/1/97|EF409249|1997.)),((((((1992A/swine/IDT/Re220/92|AY701752|1992.,1998A/swine/Flanders/1/1998|FJ842116|1998.),1996A/Swine/Oedenrode/7C/96|AF092053|1996.),2006A/swine/Italy/79604/2006|EU045374|2006.),1994A/Swine/Belgium/231/94|AF092055|1994.),1985A/Swine/Utrecht/4/85|AF092058|1985.),(((((1994A/swine/Finistere/510/94|AJ311511|1994.,1998A/swine/Italy/9264/1998|EU045360|1998.),1997A/Swine/Breugel/97|AF092052|1997.),1999A/swine/HongKong/5200/99|AY363520|1999.),(1987A/swine/Italy/630/1987|DQ975255|1987.,2004A/swine/Italy/58356/2004|EU045368|2004.)),(1984A/swine/CotedArmor/3633/84|AJ293933|1984.,2002A/swine/Germany/S043/2002|AM920742|2002.)))),(((((1993A/swine/Bakum/909/93|AJ252130|1993.,2001A/swine/HongKong/9745/01|AY363524|2001.),(2000A/swine/Italy/1962-1/2000|DQ975265|2000.,2007A/swine/Hungary/13509/2007|FJ798772|2007.581)),1984A/Swine/Brabant/84|AF092059|1984.),((1995A/swine/Belgium/87/95|AJ293927|1995.,2007A/swine/Italy/50127/2007|EU982296|2007.),(1996A/swine/Jena/5/1996|EF409248|1996.,2006A/swine/Italy/114347/2006|EU045376|2006.))),1984A/swine/Ukkel/1/1984|M73775|1984.))
  tree height = 1171.6896269136032
Using strict molecular clock model.
Creating site model.
Using BEAGLE TreeLikelihood
  Branch rate model used: strictClockBranchRates
  Using BEAGLE resource 0: CPU
    with instance flags:  PRECISION_DOUBLE COMPUTATION_SYNCH EIGEN_REAL SCALING_MANUAL SCALERS_RAW VECTOR_NONE THREADING_NONE PROCESSOR_CPU FRAMEWORK_CPU
  Ignoring ambiguities in tree likelihood.
  With 566 unique site patterns.
  Using rescaling scheme : delayed
Optimization Schedule: log
Likelihood computation is using an auto sizing thread pool.
Creating the MCMC chain:
  chainLength=30000000
  autoOptimize=true
  autoOptimize delayed for 10000 steps
# BEAST v1.8.1, r6542
# Generated Thu Apr 09 17:24:29 PDT 2015 [seed=1428625469005]
state	Posterior   	Prior       	Likelihood  	rootHeight  	clock.rate  
0	-10010.3007 	-401.0105   	-9609.2901  	1171.69     	7E-5        	-
1000	-6897.8292  	-462.7681   	-6435.0611  	253.599     	3.4572E-4   	-
2000	-5968.9464  	-470.1814   	-5498.7650  	245.557     	2.47234E-4  	-
3000	-5572.8196  	-477.8570   	-5094.9626  	355.827     	2.03453E-4  	-
4000	-5407.5937  	-483.9952   	-4923.5986  	393.612     	1.7693E-4   	-
5000	-5078.8235  	-486.5635   	-4592.2600  	370.992     	1.28508E-4  	-
6000	-4904.7618  	-487.8163   	-4416.9455  	422.119     	1.3756E-4   	-
7000	-4853.7416  	-484.0469   	-4369.6946  	375.024     	1.28046E-4  	-
8000	-4837.1280  	-483.6982   	-4353.4298  	422.129     	1.13512E-4  	-
9000	-4827.4760  	-480.7401   	-4346.7359  	445.628     	1.20922E-4  	-
10000	-4820.2129  	-480.1773   	-4340.0357  	404.105     	1.11829E-4  	-
11000	-4818.9783  	-484.4533   	-4334.5249  	432.803     	1.16442E-4  	0.74 hours/million states
12000	-4810.0720  	-480.9218   	-4329.1501  	411.895     	1.22671E-4  	0.56 hours/million states
13000	-4810.0361  	-474.5837   	-4335.4524  	389.470     	1.30595E-4  	0.51 hours/million states
14000	-4808.5599  	-475.1439   	-4333.4161  	396.817     	1.24518E-4  	0.48 hours/million states
15000	-4808.0556  	-469.2357   	-4338.8198  	394.821     	1.36933E-4  	0.47 hours/million states
16000	-4806.5900  	-474.1161   	-4332.4739  	358.517     	1.39576E-4  	0.46 hours/million states
17000	-4811.9073  	-474.0665   	-4337.8408  	341.729     	1.30037E-4  	0.46 hours/million states
18000	-4803.7106  	-473.7513   	-4329.9593  	383.665     	1.35487E-4  	0.45 hours/million states
19000	-4804.8568  	-474.0090   	-4330.8478  	342.333     	1.39309E-4  	0.44 hours/million states
20000	-4801.0357  	-470.1997   	-4330.8359  	356.952     	1.4838E-4   	0.43 hours/million states
21000	-4809.3939  	-471.9102   	-4337.4837  	360.566     	1.43889E-4  	0.45 hours/million states
22000	-4810.1418  	-470.1257   	-4340.0161  	313.034     	1.4001E-4   	0.45 hours/million states
23000	-4814.9592  	-475.0631   	-4339.8961  	366.240     	1.43703E-4  	0.44 hours/million states
24000	-4810.8301  	-473.2634   	-4337.5667  	351.207     	1.3248E-4   	0.44 hours/million states
25000	-4818.5604  	-473.3572   	-4345.2032  	383.965     	1.43427E-4  	0.43 hours/million states
26000	-4817.8755  	-473.1115   	-4344.7641  	359.319     	1.39936E-4  	0.43 hours/million states
27000	-4818.2488  	-468.9257   	-4349.3232  	338.730     	1.56258E-4  	0.42 hours/million states
28000	-4811.6410  	-468.1141   	-4343.5269  	362.728     	1.36646E-4  	0.42 hours/million states
29000	-4802.3928  	-470.3377   	-4332.0552  	329.700     	1.43648E-4  	0.42 hours/million states
30000	-4810.9101  	-475.2882   	-4335.6218  	357.424     	1.45908E-4  	0.41 hours/million states
31000	-4803.7343  	-469.9038   	-4333.8304  	353.731     	1.51399E-4  	0.42 hours/million states
32000	-4801.6529  	-471.7680   	-4329.8849  	326.489     	1.39914E-4  	0.42 hours/million states
33000	-4806.5439  	-469.1319   	-4337.4120  	328.239     	1.47286E-4  	0.42 hours/million states
34000	-4812.2585  	-468.0067   	-4344.2518  	359.135     	1.48078E-4  	0.41 hours/million states
35000	-4807.7714  	-471.2535   	-4336.5179  	414.848     	1.34849E-4  	0.41 hours/million states
36000	-4802.4426  	-469.6773   	-4332.7653  	420.903     	1.23952E-4  	0.41 hours/million states
37000	-4809.4152  	-470.2312   	-4339.1841  	370.065     	1.53188E-4  	0.41 hours/million states
38000	-4811.1483  	-470.1064   	-4341.0419  	433.409     	1.39473E-4  	0.41 hours/million states
39000	-4800.0440  	-460.5917   	-4339.4523  	358.103     	1.62383E-4  	0.4 hours/million states
40000	-4801.0851  	-461.6047   	-4339.4804  	291.233     	1.76486E-4  	0.4 hours/million states
41000	-4787.1083  	-456.2407   	-4330.8676  	287.024     	1.68186E-4  	0.41 hours/million states
42000	-4796.7817  	-457.2850   	-4339.4967  	291.393     	1.83705E-4  	0.41 hours/million states
43000	-4802.3824  	-459.1178   	-4343.2646  	289.235     	1.70146E-4  	0.41 hours/million states
44000	-4794.6864  	-462.0195   	-4332.6670  	358.816     	1.5762E-4   	0.4 hours/million states
45000	-4791.5726  	-457.9477   	-4333.6248  	310.200     	1.6939E-4   	0.4 hours/million states
46000	-4801.5645  	-463.9763   	-4337.5882  	334.303     	1.41855E-4  	0.4 hours/million states
47000	-4806.7615  	-463.5251   	-4343.2363  	297.429     	1.56666E-4  	0.4 hours/million states
48000	-4799.3271  	-460.6944   	-4338.6327  	315.796     	1.73341E-4  	0.4 hours/million states
49000	-4793.9017  	-455.0206   	-4338.8811  	299.706     	1.69191E-4  	0.4 hours/million states
50000	-4801.1510  	-453.9962   	-4347.1549  	308.871     	1.54793E-4  	0.4 hours/million states
51000	-4788.4692  	-458.5535   	-4329.9157  	323.446     	1.75523E-4  	0.41 hours/million states
52000	-4786.8724  	-458.4078   	-4328.4646  	314.718     	1.68591E-4  	0.4 hours/million states
53000	-4787.7686  	-454.9618   	-4332.8067  	323.659     	1.77216E-4  	0.4 hours/million states
54000	-4786.9274  	-453.8381   	-4333.0893  	324.337     	1.78097E-4  	0.4 hours/million states
55000	-4788.5476  	-451.3802   	-4337.1674  	277.165     	1.93217E-4  	0.4 hours/million states
56000	-4794.6516  	-454.8858   	-4339.7658  	341.541     	1.76915E-4  	0.4 hours/million states
57000	-4790.3927  	-453.4362   	-4336.9566  	286.959     	1.64586E-4  	0.4 hours/million states
