Codon,dS,dN,dN/dS,Normalized dN-dS,dS (when dN=dS),Log(L),LRT,p-value
1,0.922394,0,0,-0.630943,1.84E-16,-3.6819,0,1
2,2.01866,0,0,-1.38082,0.532123,-32.1055,18.3071,1.88E-05
3,0.220779,0,0,-0.151019,0.0831412,-9.7222,1.94894,0.162701
4,0.715732,0.174296,0.244,-0.370357,0.441895,-32.3498,1.98052,0.159336
5,0,0,Undefined,0,6.74E-18,-3.96333,0,1
6,0.547955,0.124211,0.227,-0.289852,0.256435,-21.4125,1.57452,0.209551
7,0.84845,0,0,-0.580363,0.285549,-25.8476,8.64593,0.00327793
8,0,0,Undefined,0,1.84E-16,-3.59065,0,1
9,0,0,Undefined,0,1.84E-16,-3.86038,0,1
10,0.522967,0,0,-0.357724,0.167236,-16.1244,4.5288,0.0333289
11,0.221742,0,0,-0.151677,0.0723646,-12.7659,2.235,0.134916
12,0,0,Undefined,0,0,0,0,1
13,0.445764,0,0,-0.304915,0.133505,-16.8421,4.80056,0.0284505
14,2.2866,0,0,-1.5641,0.708751,-44.6632,22.9739,1.64E-06
15,2.26366,0.435809,0.193,-1.2503,1.03356,-62.9585,8.54946,0.00345624
16,1.58688,0,0,-1.08547,0.490499,-33.5286,13.9165,0.000191116
17,0.244915,0,0,-0.167529,0.0723682,-10.1496,2.43348,0.118769
18,0,0,Undefined,0,0,0,0,1
19,0,0.118675,Infinite,0.0811772,0.0753631,-13.2326,0.906764,0.340975
20,0,0,Undefined,0,0,0,0,1
21,0,0,Undefined,0,0,0,0,1
22,0,0,Undefined,0,0,0,0,1
23,1.40756,0,0,-0.962809,0.42928,-28.9761,11.7222,0.000617592
24,1.81254,0,0,-1.23983,0.145384,-15.7416,9.998,0.0015671
25,2.35507,0,0,-1.61093,0.641412,-35.4867,23.0699,1.56E-06
26,0.27155,0,0,-0.185748,0.12095,-11.0042,1.61233,0.204164
27,0.537569,0.109711,0.204,-0.292667,0.233681,-23.8252,1.80442,0.179179
28,2.2836,0.134901,0.059,-1.46977,0.935083,-54.0412,13.6268,0.000222976
29,0,0,Undefined,0,0,0,0,1
30,5.09584,0,0,-3.4857,1.4119,-52.8268,41.3074,1.30E-10
31,0.448999,0,0,-0.307127,0.145361,-15.7638,4.49254,0.034043
32,0,0,Undefined,0,0,0,0,1
33,0.2449,0,0,-0.167518,0.0696397,-10.1375,2.51047,0.113092
34,0,0,Undefined,0,0,0,0,1
35,1.31991,0,0,-0.902855,0.331068,-23.6255,10.917,0.000952869
36,0,0,Undefined,0,0,0,0,1
37,1.62716,0.094013,0.058,-1.04872,0.540205,-45.0552,11.9521,0.000545865
38,0.525361,0,0,-0.359361,0.16132,-16.5966,4.6931,0.030284
39,0.452044,0,0,-0.309211,0.168044,-19.2589,3.94024,0.0471439
40,0.550844,0,0,-0.376793,0.170618,-15.833,4.66526,0.0307787
41,0.998844,0,0,-0.683237,0.280366,-31.222,10.0853,0.00149455
42,0.418479,0.133926,0.32,-0.194642,0.245071,-25.4933,0.926692,0.335724
43,0,0,Undefined,0,0,0,0,1
44,0.640117,0.11554,0.18,-0.358825,0.25456,-21.9343,2.08453,0.148798
45,0,0,Undefined,0,0,0,0,1
46,0.513411,0,0,-0.351187,0.260266,-19.5291,4.05492,0.0440428
47,0,0,Undefined,0,0,0,0,1
48,0,0,Undefined,0,0,0,0,1
49,0,0.110917,Infinite,0.0758701,0.0781327,-16.1401,0.699921,0.40281
50,0,0,Undefined,0,0,0,0,1
51,0.209919,0,0,-0.14359,0.0688966,-11.2569,2.22408,0.135874
52,1.06075,0,0,-0.725581,0.529956,-33.7561,8.24048,0.00409662
53,0,0,Undefined,0,0,0,0,1
54,0.22221,0,0,-0.151998,0.0771036,-13.1194,2.1121,0.146139
55,0,0,Undefined,0,0,0,0,1
56,0.220599,0,0,-0.150896,0.0657735,-8.75216,2.41579,0.120117
57,0.271725,0,0,-0.185868,0.082426,-8.97536,2.38026,0.122877
58,0.768348,0,0,-0.525571,0.240718,-20.4903,6.91933,0.00852689
59,0.472161,0,0,-0.322971,0.140844,-12.5016,4.81755,0.0281713
60,0.28326,0,0,-0.193757,0.154409,-18.8669,2.42203,0.119639
61,2.1493,0,0,-1.47018,0.654051,-36.9306,18.7281,1.51E-05
62,0.259659,0,0,-0.177614,0.0711838,-11.0501,2.58045,0.108191
63,1.8661,0,0,-1.27646,0.538132,-35.1981,17.1787,3.40E-05
64,0.500949,0,0,-0.342663,0.139941,-15.6854,5.07254,0.0243078
65,0,0,Undefined,0,0,0,0,1
66,0,0,Undefined,0,0,0,0,1
67,0,0,Undefined,0,0,0,0,1
68,0,0.329022,Infinite,0.22506,0.228319,-32.751,0.79222,0.37343
69,0.420826,0,0,-0.287856,0.151284,-15.2017,4.07558,0.0435074
70,0.260119,0,0,-0.177929,0.0741316,-10.3942,2.50294,0.113634
71,0,0,Undefined,0,0,0,0,1
72,0.406997,0,0,-0.278397,0.221753,-17.3986,2.41906,0.119866
73,0,0,Undefined,0,0,0,0,1
74,0.528021,0,0,-0.361181,0.26372,-26.2966,4.14204,0.0418308
75,0,0,Undefined,0,0,0,0,1
76,0,0,Undefined,0,0,0,0,1
77,0,0,Undefined,0,0,0,0,1
78,1.61425,0,0,-1.10419,0.630254,-41.4731,12.9282,0.000323662
79,0,0,Undefined,0,0,0,0,1
80,0.418878,0,0,-0.286524,0.142092,-13.3738,4.30965,0.0378967
81,1.15363,0.217716,0.189,-0.640192,0.619203,-32.152,2.82658,0.0927153
82,0,0.11179,Infinite,0.0764672,0.0779339,-11.0229,0.720717,0.395909
83,0.207831,0,0,-0.142162,0.0662743,-13.9092,2.28182,0.130898
84,1.13243,0,0,-0.774612,0.421874,-33.0856,9.82098,0.00172533
85,0.792585,0,0,-0.54215,0.234644,-18.5284,7.23479,0.00715041
86,0.251018,0,0,-0.171703,0.0796674,-9.14589,2.29083,0.130141
87,1.06209,0,0,-0.726498,0.313197,-20.7977,9.65421,0.00188919
88,0.679199,0,0,-0.464591,0.230877,-20.8821,6.42894,0.0112276
89,1.28799,0,0,-0.881022,0.397416,-26.1327,11.5824,0.000665786
90,1.88534,0,0,-1.28962,0.575061,-43.8823,16.3555,5.25E-05
91,1.29433,0,0,-0.88536,0.38658,-21.6942,11.9295,0.000552519
92,0.76192,0,0,-0.521174,0.230503,-16.3111,7.11492,0.0076445
93,0,0,Undefined,0,0,0,0,1
94,0.499938,0,0,-0.341972,0.15768,-14.1808,4.58952,0.032168
95,3.83163,0.11503,0.03,-2.54226,1.10092,-48.4798,24.5153,7.37E-07
96,6.90452,0,0,-4.72288,1.72069,-66.6772,61.6405,4.11E-15
97,1.29367,0,0,-0.884904,0.431199,-29.8346,13.0436,0.000304315
98,0.63124,0.562623,0.891,-0.0469359,0.580605,-42.5607,0.0182413,0.892564
99,1.25398,0,0,-0.857755,0.621901,-37.06,9.69615,0.00184654
100,2.75538,0,0,-1.88476,0.84322,-38.5552,22.8902,1.72E-06
101,3.78548,0.113838,0.03,-2.5115,1.20302,-65.5486,26.4228,2.74E-07
102,0.965222,0,0,-0.660238,0.246597,-20.6316,8.10832,0.00440624
103,2.09367,0.156445,0.075,-1.32512,0.983912,-72.7038,11.0214,0.000900658
104,0.950062,0,0,-0.649869,0.24683,-19.4428,8.01057,0.00465051
105,11.6432,0,0,-7.96424,3.44194,-123.111,81.8483,0
106,2.82503,0,0,-1.9324,0.699053,-33.1795,21.857,2.94E-06
107,0,0,Undefined,0,0,0,0,1
108,0.245116,0,0,-0.167666,0.0678053,-9.77679,2.56567,0.109206
