Codon,alpha,beta1,p1,beta2,p2,LRT,p-value,q-value,Log(L)
1,0.844619,0,0.0465862,0,0.953414,0,0.67,1,-3.79724
2,0.728379,0.185384,0.97461,0.185384,0.0253901,0,0.67,1,-26.6734
3,2.6617,2.6617,0.278352,0,0.721648,0,0.67,1,-53.3123
4,0,0,0.255523,0.834652,0.744477,1.80932,0.202969,1,-21.3792
5,0,0,0,0,1,0,1,1,0
6,0,0,0,0,1,0,1,1,0
7,0,0,0,0,1,0,1,1,0
8,0.987083,0,0.0473434,0,0.952657,0,0.67,0.864404,-18.531
9,0,0,0,0,1,0,1,1,0
10,0.607313,0,0.065,0,0.935,0,0.67,0.878053,-10.3848
11,0,0,0,0,1,0,1,1,0
12,1.74313,0,0.0473395,0,0.952661,0,0.67,0.934622,-22.8577
13,0,0,0,0,1,0,1,1,0
14,2.09373,0,0.0484201,0,0.95158,0,0.67,0.914137,-23.1135
15,0,0,0,0,1,0,1,1,0
16,0,0,0.251571,0.233544,0.748429,0.494774,0.433003,1,-13.2809
17,2.30227,0,0.0487073,0,0.951293,0,0.67,1,-28.7372
18,0.552359,0.250306,0.963319,10.0402,0.0366812,0.059762,0.600924,1,-36.6278
19,0,0,0,0,1,0,1,1,0
20,0,0,0.268515,0.424472,0.731485,1.10571,0.300345,1,-13.9851
21,0,0,0.478721,1.05631,0.521279,1.60967,0.226448,1,-30.162
22,0.898628,0,0.0500573,0,0.949943,0,0.67,1,-15.9738
23,0,0,0,0,1,0,1,1,0
24,1.40333,0,0.994489,95.0426,0.00551092,0.670501,0.388019,1,-28.0351
25,1.52279,0,0.0485098,0,0.95149,0,0.67,1,-20.0828
26,1.33623,0,0.0483679,0,0.951632,0,0.67,1,-21.6701
27,0,0,0.251242,0.250389,0.748758,0.7068,0.379549,1,-13.3957
28,1.34323,0,0.0488219,0,0.951178,0,0.67,1,-17.8218
29,1.78463,0,0.0473726,0,0.952627,0,0.67,1,-29.2118
30,1.54551,0,0.0484201,0,0.95158,0,0.67,1,-23.4797
31,1.35548,0.769913,1,0.768194,1.00E-09,0,0.67,1,-40.2231
32,0,0,0,0,1,0,1,1,0
33,0.52814,0.391915,1,0.389409,1.00E-09,0,0.67,1,-22.1204
34,0,0,0.026201,1.30467,0.973799,3.74705,0.0725444,1,-40.3419
35,0.445526,0,0.0484201,0,0.95158,0,0.67,1,-12.0786
36,0,0,0,0,1,0,1,1,0
37,1.23261,0,0.0473511,0,0.952649,0,0.67,1,-20.9652
38,0.402426,0,0.004985,0,0.995015,0,0.67,1,-12.2101
39,0,0,0,0,1,0,1,1,0
40,0,0,0,0,1,0,1,1,0
41,0.484586,0,0.0484201,0,0.95158,0,0.67,1,-10.0575
42,0,0,0,0,1,0,1,1,0
43,0,0,0,0,1,0,1,1,0
44,0,0,0,0,1,0,1,1,0
45,0.458442,0,0.0484201,0,0.95158,0,0.67,1,-10.5819
46,0.550646,0,0.0503863,0,0.949614,0,0.67,1,-11.6596
