Codon,dS,dN,dN/dS,Normalized dN-dS,dS (when dN=dS),Log(L),LRT,p-value
1,0,0,Undefined,0,0,0,0,1
2,0,0.341425,Infinite,0.482917,0.236344,-12.3632,0.734457,0.391442
3,2.07405,0,0,-2.93356,0.64539,-18.817,6.96837,0.00829629
4,0.62882,0.367067,0.584,-0.370227,0.463587,-16.6906,0.142561,0.705748
5,0,0.353033,Infinite,0.499334,0.240049,-14.0094,0.770419,0.380087
6,0.688113,0,0,-0.973277,0.202943,-10.0863,2.43782,0.118441
7,0,0,Undefined,0,0,0,0,1
8,0,0,Undefined,0,0,0,0,1
9,0,0.420171,Infinite,0.594295,0.272778,-10.8929,0.863102,0.352872
10,0.761672,0.35112,0.461,-0.58069,0.480659,-18.5316,0.291211,0.589446
11,0.6265,1.92334,3.07,1.83427,1.36153,-32.907,1.20728,0.271872
12,0,0.338868,Infinite,0.4793,0.239495,-10.2969,0.693908,0.404838
13,0.422522,1.91388,4.53,2.1094,1.01637,-34.9634,2.02545,0.154683
14,0,1.00957,Infinite,1.42796,0.676758,-22.077,2.39126,0.122015
15,0,0.786997,Infinite,1.11314,0.514796,-18.4526,1.69586,0.192831
16,1.31348,0.584864,0.445,-1.03056,0.809286,-31.4498,0.632975,0.426266
17,1.12948,0,0,-1.59756,0.337092,-9.71077,2.40971,0.120585
18,3.02647,1.59099,0.526,-2.03035,1.93474,-44.8749,0.708952,0.399792
19,2.84183,1.21356,0.427,-2.30305,1.80246,-49.3508,1.2362,0.266206
20,2.7379,0.336594,0.123,-3.39645,1.12646,-33.2753,4.63388,0.0313466
21,0,0.883762,Infinite,1.25,0.642796,-23.7732,1.90392,0.16764
22,0,0.33039,Infinite,0.467308,0.235141,-12.5576,0.679312,0.409824
23,0,0,Undefined,0,0,0,0,1
24,0.787518,0.96796,1.229,0.25522,0.915527,-30.9832,0.0327132,0.856471
25,0.785232,0.278346,0.354,-0.716947,0.41095,-19.3134,0.513065,0.473815
26,2.29998,0.314309,0.137,-2.80856,0.89235,-28.5103,3.57373,0.0587004
27,0,0,Undefined,0,0,0,0,1
28,0.673759,0,0,-0.952974,0.213482,-12.3002,2.29623,0.129688
29,0.840928,0,0,-1.18942,0.50253,-16.9168,2.05522,0.151685
30,0.78484,0,0,-1.11009,0.24208,-12.651,2.34676,0.125544
31,1.88589,0,0,-2.66743,1.01339,-28.7694,4.94413,0.0261794
32,2.28838,0,0,-3.23671,0.62862,-20.1012,7.71815,0.00546684
33,5.20655,0,0,-7.36421,1.48398,-28.9634,14.8191,0.000118332
34,0,0,Undefined,0,0,0,0,1
35,1.53128,0,0,-2.16586,0.418482,-15.243,5.17339,0.0229354
36,2.12296,0,0,-3.00274,0.681431,-19.0217,6.79444,0.00914424
37,0,0,Undefined,0,0,0,0,1
38,1.58469,0,0,-2.2414,0.453647,-14.0978,4.98092,0.0256283
39,0.789081,0,0,-1.11609,0.21311,-10.0683,2.614,0.105925
40,2.09794,0,0,-2.96736,0.648255,-20.8184,7.02113,0.00805535
41,0.571953,0.485774,0.849,-0.121893,0.525353,-18.2666,0.0132664,0.908303
42,0.672271,0,0,-0.950869,0.223223,-10.0126,2.20273,0.137767
43,0,0.320369,Infinite,0.453134,0.249017,-10.3636,0.503237,0.478081
44,0.78904,0,0,-1.11603,0.223793,-9.83443,2.5161,0.112689
45,0.629556,0,0,-0.890452,0.231196,-11.996,2.00058,0.15724
46,0.690126,0,0,-0.976124,0.215093,-10.5051,2.329,0.126984
47,0,1.01683,Infinite,1.43822,0.718715,-23.8465,2.07653,0.14958
48,0.807434,0,0,-1.14205,0.217298,-9.42229,2.6194,0.105564
49,1.83814,1.52797,0.831,-0.438702,1.6384,-33.0627,0.039899,0.841678
50,0,0.707147,Infinite,1.0002,0.480031,-15.4381,1.54528,0.213833
51,1.13414,0,0,-1.60415,0.236249,-10.033,3.12838,0.0769401
52,0.677593,0,0,-0.958396,0.223788,-11.9217,2.21308,0.136846
53,0,0,Undefined,0,0,0,0,1
54,0,0,Undefined,0,0,0,0,1
55,2.09414,0,0,-2.96198,0.611155,-19.5299,7.3492,0.00670925
56,0,0,Undefined,0,0,0,0,1
57,2.3698,0,0,-3.35187,0.677206,-17.2765,7.48385,0.00622547
58,1.72518,0,0,-2.44012,1.01976,-28.5294,4.18824,0.0407053
59,0.687759,0,0,-0.972775,0.224833,-8.94936,2.23253,0.135133
60,3.20169,0,0,-4.52852,1.27115,-20.5183,7.33808,0.0067509
61,3.41263,2.04682,0.6,-1.93182,2.39436,-58.3946,0.613105,0.433621
62,0.623198,0,0,-0.88146,0.228693,-10.5878,2.00159,0.157135
63,0,0,Undefined,0,0,0,0,1
64,0.773645,0.312449,0.404,-0.652322,0.44518,-15.9701,0.396198,0.529059
65,2.0921,0,0,-2.95909,0.60233,-23.1502,7.43429,0.00639925
66,2.9782,1.84711,0.62,-1.59983,2.11459,-50.9365,0.420109,0.516882
67,0,0,Undefined,0,0,0,0,1
68,1.57828,0,0,-2.23234,0.484546,-15.1844,4.70059,0.0301523
69,4.10E-17,0.904264,2.20772E+16,1.279,0.651633,-19.0969,1.95953,0.161564
70,5.12E-18,0.888291,1.73498E+17,1.25641,0.651733,-19.6439,1.85256,0.173486
71,0,0,Undefined,0,0,0,0,1
72,2.46159,0,0,-3.4817,0.731093,-18.038,7.22827,0.00717643
73,1.32095,1.70602,1.292,0.544655,1.52779,-34.3825,0.07897,0.778698
74,0.62918,0,0,-0.889921,0.231197,-9.87893,1.99935,0.157366
75,2.08679,0,0,-2.95158,0.761674,-20.5801,6.01085,0.0142182
76,0.82723,0,0,-1.17005,0.220381,-9.75974,2.63936,0.104245
77,3.97081,0,0,-5.61636,1.06457,-25.6123,13.0608,0.000301536
78,0,1.87297,Infinite,2.64916,1.51064,-37.753,2.55987,0.109607
79,1.58739,1.2884,0.812,-0.422893,1.37468,-39.4597,0.0558613,0.813161
80,0,0,Undefined,0,0,0,0,1
81,0.789102,0,0,-1.11612,0.223798,-9.92553,2.5162,0.112681
82,0.868451,0,0,-1.22835,0.512197,-17.575,2.10741,0.146587
83,0,0.278157,Infinite,0.393428,0.250504,-11.0513,0.208959,0.647585
84,0.822557,0,0,-1.16344,0.219993,-10.6165,2.63158,0.104758
85,1.39245,0,0,-1.9695,0.40718,-17.5351,4.90018,0.0268539
86,0.461874,0,0,-0.653281,0.265453,-11.4436,1.10621,0.292906
87,0.480823,0,0,-0.680082,0.274214,-11.5599,1.12164,0.289566
88,0.769837,0,0,-1.08887,0.2104,-10.5192,2.5907,0.107493
89,0,0,Undefined,0,0,0,0,1
90,0.695815,0,0,-0.98417,0.226333,-13.495,2.2418,0.134324
91,0,0.383178,Infinite,0.541973,0.259906,-12.7961,0.775787,0.378433
92,0.823471,0,0,-1.16473,0.238967,-10.8001,2.4679,0.116193
93,0,0,Undefined,0,0,0,0,1
94,1.91482,0.862857,0.451,-1.4879,1.18968,-38.2846,0.919327,0.337652
95,3.26322,0.779291,0.239,-3.5133,1.57865,-35.1842,2.91326,0.0878542
96,1.13068,0,0,-1.59925,0.337145,-11.5099,2.4114,0.120455
97,0.820639,0.327471,0.399,-0.697543,0.46809,-17.2206,0.405539,0.524243
98,0.773942,0.329323,0.426,-0.628875,0.46216,-16.2889,0.353071,0.55238
99,1.08251,0.945295,0.873,-0.194073,0.976169,-28.5836,0.013302,0.90818
100,0,0,Undefined,0,0,0,0,1
101,0.783303,0,0,-1.10791,0.212998,-8.57188,2.59932,0.106909
102,0.688199,0,0,-0.973397,0.252897,-11.0842,1.9981,0.157496
103,0.814642,0,0,-1.15224,0.265094,-9.31562,2.23943,0.13453
104,0.688841,0.67602,0.981,-0.0181337,0.680241,-25.4325,0.000233459,0.987809
105,0,0,Undefined,0,0,0,0,1
106,1.25039,0,0,-1.76858,0.441028,-18.0674,4.15473,0.0415185
107,0.787752,0,0,-1.11421,0.205257,-10.8631,2.68428,0.101343
108,1.12731,0.967747,0.858,-0.225686,1.00326,-30.1812,0.0168459,0.896731
109,1.34003,0,0,-1.89535,0.402656,-15.8017,4.79382,0.028562
110,0,1.21177,Infinite,1.71395,0.797949,-24.7525,2.50074,0.113793
111,0.783083,0,0,-1.1076,0.204948,-10.0277,2.67547,0.101905
112,0.783301,0.318755,0.407,-0.657061,0.453134,-16.8085,0.389388,0.532621
113,0.822077,0,0,-1.16276,0.238919,-9.41117,2.46526,0.116388
114,0,0,Undefined,0,0,0,0,1
115,0.687978,0,0,-0.973086,0.225498,-10.5351,2.22661,0.135651
116,0,0,Undefined,0,0,0,0,1
117,0,0,Undefined,0,0,0,0,1
118,0.672271,0,0,-0.950868,0.223223,-10.0136,2.20273,0.137767
119,1.42364,0.337097,0.237,-1.53682,0.686044,-25.162,1.48988,0.222235
120,0,0,Undefined,0,0,0,0,1
121,0,0,Undefined,0,0,0,0,1
122,0.623058,0.579107,0.929,-0.0621649,0.59305,-23.1477,0.00352163,0.952679
123,0,0,Undefined,0,0,0,0,1
124,0,0,Undefined,0,0,0,0,1
125,1.37197,0.304821,0.222,-1.50939,0.633473,-22.7581,1.62312,0.202658
126,0,0,Undefined,0,0,0,0,1
127,0,0,Undefined,0,0,0,0,1
128,0,1.01767,Infinite,1.43941,0.680482,-21.7702,2.4062,0.120855
129,0.623881,0,0,-0.882426,0.196982,-12.0315,2.30237,0.129177
130,1.50895,0,0,-2.13427,0.538776,-15.8105,4.10475,0.0427629
131,3.78731,0.396629,0.105,-4.79582,1.56067,-41.0697,6.05112,0.0138975
132,0,0,Undefined,0,0,0,0,1
133,2.79037,0,0,-3.94673,0.863159,-23.9248,9.3265,0.00225863
134,0.841133,0,0,-1.18971,0.502643,-17.3872,2.05529,0.151679
135,1.55886,0,0,-2.20488,0.449921,-13.8226,4.95689,0.0259869
136,0,0,Undefined,0,0,0,0,1
137,0.681857,1.76139,2.583,1.5269,1.39324,-40.373,0.902093,0.342221
138,0,1.3224,Infinite,1.87042,0.937436,-32.119,2.73769,0.0980062
139,1.09062,0,0,-1.54259,0.235196,-8.73025,3.06003,0.08024
140,1.43833,1.1924,0.829,-0.347842,1.26426,-39.2463,0.0454018,0.831267
141,0,0,Undefined,0,0,0,0,1
142,0,0.328384,Infinite,0.464471,0.232241,-14.1505,0.691973,0.405494
143,0,0,Undefined,0,0,0,0,1
144,0,0.628389,Infinite,0.888802,0.430688,-17.0108,1.50776,0.219481
145,2.30385,0.290725,0.126,-2.84739,0.843875,-25.1695,3.86935,0.0491755
146,0.622845,0,0,-0.880961,0.217436,-11.14,2.10179,0.147127
147,0.688247,0.638067,0.927,-0.0709748,0.65388,-24.0128,0.00375149,0.951161
148,1.70829,0,0,-2.41623,0.644655,-16.9476,3.88182,0.0488116
149,1.65223,2.27,1.374,0.873776,2.09549,-46.8836,0.163981,0.685517
150,1.4431,0,0,-2.04113,0.409524,-14.9705,5.02507,0.024983
151,0,1.5517,Infinite,2.19475,1.12145,-34.4371,3.22856,0.0723644
152,0.785367,0,0,-1.11083,0.20518,-9.65199,2.67897,0.101681
153,0,3.18184,Infinite,4.50043,2.09874,-54.8249,6.61211,0.0101287
154,0,1.75703,Infinite,2.48516,1.23077,-38.7487,4.24859,0.039283
155,0.784721,0,0,-1.10992,0.242046,-10.5846,2.34667,0.125551
156,0,1.27188,Infinite,1.79897,1.01027,-29.9488,1.83218,0.17587
157,2.07082,0,0,-2.92899,0.633639,-20.0078,7.07943,0.00779737
158,0,1.79606,Infinite,2.54037,1.32049,-35.4984,3.66229,0.0556569
159,1.40017,0.355639,0.254,-1.4774,0.706972,-24.9926,1.34699,0.245805
160,1.55644,2.98567,1.918,2.02152,2.55872,-64.1409,0.773549,0.379121
161,0.858143,4.61184,5.374,5.30928,3.57273,-87.9192,4.19048,0.0406515
162,0,0.285068,Infinite,0.403204,0.20902,-9.84328,0.62014,0.430995
163,0.792205,0,0,-1.12051,0.259163,-9.34333,2.22919,0.135425
164,1.62665,0,0,-2.30075,0.526128,-14.2377,4.49096,0.0340746
165,0.823279,0,0,-1.16446,0.211582,-10.9771,2.71111,0.0996516
166,0,0,Undefined,0,0,0,0,1
167,1.859,0,0,-2.6294,1.07181,-27.6024,4.38307,0.0362976
168,3.33469,0,0,-4.71663,0.934262,-19.4925,10.085,0.00149485
169,0,0,Undefined,0,0,0,0,1
170,1.94488,0,0,-2.75087,1.10325,-25.8808,4.50925,0.0337119
171,0.72426,1.81806,2.51,1.54709,1.453,-39.9741,0.844449,0.358128
172,3.17352,2.57226,0.811,-0.850428,2.72171,-58.685,0.0881274,0.766571
173,1.19E-17,0.989573,8.34702E+16,1.39967,0.575626,-15.5836,2.16307,0.141362
174,0,1.54139,Infinite,2.18017,1.17651,-34.3644,2.68532,0.101277
175,0,3.04597,Infinite,4.30827,2.06796,-54.2201,6.30614,0.0120321
176,1.02889,0.963747,0.937,-0.0921378,0.979241,-30.0633,0.00314169,0.955301
177,1.65502,0,0,-2.34088,0.556,-15.0409,4.33951,0.0372376
178,0,0,Undefined,0,0,0,0,1
179,1.44158,0.608318,0.422,-1.17857,0.85581,-26.9684,0.717619,0.396926
180,2.25955,1.2801,0.567,-1.38535,1.85426,-47.7392,0.48941,0.484191
